age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,age_group,balance_bin,balance_duration_ratio,age_balance_interaction,previous_contacted,engagement_rate,y
57,retired,married,secondary,no,718,no,no,cellular,3,jun,170,1,-1,0,unknown,>50,low,4.1988304093567255,40926,0,0.0,no
50,management,married,secondary,no,268,no,no,cellular,3,jun,74,2,90,2,failure,30-50,low,3.5733333333333333,13400,1,0.6666666666666666,no
46,technician,single,secondary,no,4367,yes,no,cellular,3,jun,65,1,96,1,failure,30-50,medium,66.16666666666667,200882,1,0.5,no
56,admin.,married,secondary,no,3554,no,no,cellular,3,jun,151,1,-1,0,unknown,>50,medium,23.38157894736842,199024,0,0.0,no
32,services,single,tertiary,no,785,no,no,cellular,3,jun,273,1,-1,0,unknown,30-50,low,2.8649635036496353,25120,0,0.0,yes
39,blue-collar,single,tertiary,no,48,no,no,cellular,3,jun,539,1,-1,0,unknown,30-50,low,0.08888888888888889,1872,0,0.0,yes
28,technician,single,tertiary,no,3623,no,no,cellular,3,jun,138,2,85,1,success,<30,medium,26.06474820143885,101444,1,0.3333333333333333,yes
39,management,married,tertiary,no,5142,no,no,cellular,3,jun,157,1,-1,0,unknown,30-50,high,32.54430379746835,200538,0,0.0,no
58,management,married,tertiary,no,2261,yes,no,cellular,3,jun,1361,1,391,1,failure,>50,medium,1.660058737151248,131138,1,0.5,yes
37,technician,married,secondary,no,6384,yes,yes,cellular,3,jun,254,1,96,2,failure,30-50,high,25.03529411764706,236208,1,1.0,no
29,self-employed,single,tertiary,no,7752,no,no,cellular,3,jun,180,1,-1,0,unknown,<30,high,42.828729281767956,224808,0,0.0,yes
30,admin.,married,tertiary,no,4168,no,no,cellular,3,jun,198,1,-1,0,unknown,<30,medium,20.944723618090453,125040,0,0.0,yes
42,unemployed,married,tertiary,no,576,no,no,cellular,3,jun,447,2,96,1,success,30-50,low,1.2857142857142858,24192,1,0.3333333333333333,yes
42,technician,married,tertiary,no,15445,no,no,cellular,3,jun,247,2,-1,0,unknown,30-50,high,62.278225806451616,648690,0,0.0,no
44,management,married,tertiary,no,423,no,no,cellular,3,jun,136,6,83,5,success,30-50,low,3.0875912408759123,18612,1,0.7142857142857143,yes
46,housemaid,married,tertiary,no,184,no,no,cellular,3,jun,167,1,-1,0,unknown,30-50,low,1.0952380952380953,8464,0,0.0,yes
36,technician,married,tertiary,no,1731,yes,no,cellular,3,jun,74,3,-1,0,unknown,30-50,medium,23.08,62316,0,0.0,no
33,admin.,single,secondary,no,16,yes,yes,cellular,3,jun,102,1,-1,0,unknown,30-50,low,0.1553398058252427,528,0,0.0,no
26,management,single,tertiary,no,2786,no,no,cellular,3,jun,300,2,72,1,success,<30,medium,9.255813953488373,72436,1,0.3333333333333333,yes
57,retired,married,secondary,no,5313,no,no,cellular,3,jun,200,1,-1,0,unknown,>50,high,26.432835820895523,302841,0,0.0,no
55,entrepreneur,married,tertiary,no,82,no,no,cellular,3,jun,97,1,-1,0,unknown,>50,low,0.8367346938775511,4510,0,0.0,no
30,technician,single,secondary,no,853,no,no,cellular,3,jun,343,1,-1,0,unknown,<30,low,2.479651162790698,25590,0,0.0,yes
22,admin.,single,secondary,no,222,no,no,cellular,3,jun,156,3,-1,0,unknown,<30,low,1.414012738853503,4884,0,0.0,no
39,unemployed,married,tertiary,no,201,no,no,cellular,3,jun,699,1,119,1,failure,30-50,low,0.28714285714285714,7839,1,0.5,yes
27,admin.,single,secondary,no,1,no,no,cellular,3,jun,42,1,-1,0,unknown,<30,low,0.023255813953488372,27,0,0.0,no
40,technician,married,secondary,no,694,yes,no,cellular,3,jun,431,2,119,9,failure,30-50,low,1.6064814814814814,27760,1,3.0,no
34,blue-collar,married,secondary,no,398,yes,no,cellular,3,jun,161,2,-1,0,unknown,30-50,low,2.45679012345679,13532,0,0.0,no
41,management,married,tertiary,no,15787,no,yes,cellular,3,jun,175,3,-1,0,unknown,30-50,high,89.69886363636364,647267,0,0.0,no
56,retired,married,primary,no,1947,no,no,cellular,3,jun,124,1,34,2,failure,>50,medium,15.576,109032,1,1.0,no
53,technician,married,tertiary,no,2600,no,no,cellular,3,jun,656,1,-1,0,unknown,>50,medium,3.95738203957382,137800,0,0.0,yes
41,admin.,divorced,secondary,no,1076,yes,no,cellular,3,jun,77,2,391,2,other,30-50,medium,13.794871794871796,44116,1,0.6666666666666666,no
25,blue-collar,single,secondary,no,389,no,no,cellular,3,jun,837,1,-1,0,unknown,<30,low,0.46420047732696895,9725,0,0.0,yes
58,housemaid,married,primary,no,0,no,no,cellular,3,jun,334,3,79,3,other,>50,negative,0.0,0,1,0.75,no
43,blue-collar,married,primary,no,3917,no,no,cellular,3,jun,725,2,93,1,success,30-50,medium,5.395316804407713,168431,1,0.3333333333333333,yes
36,technician,divorced,secondary,no,3158,yes,no,cellular,3,jun,144,2,-1,0,unknown,30-50,medium,21.779310344827586,113688,0,0.0,no
25,management,single,tertiary,no,362,no,no,cellular,3,jun,617,2,-1,0,unknown,<30,low,0.5857605177993528,9050,0,0.0,yes
39,technician,married,tertiary,no,1293,no,no,cellular,3,jun,140,2,-1,0,unknown,30-50,medium,9.170212765957446,50427,0,0.0,no
33,management,single,tertiary,no,1439,yes,no,cellular,3,jun,178,2,-1,0,unknown,30-50,medium,8.039106145251397,47487,0,0.0,no
44,technician,married,tertiary,no,717,no,no,cellular,3,jun,150,2,-1,0,unknown,30-50,low,4.748344370860927,31548,0,0.0,no
32,blue-collar,married,secondary,no,889,yes,no,cellular,3,jun,1076,2,85,3,other,30-50,low,0.8254410399257196,28448,1,1.0,yes
55,retired,divorced,secondary,no,2204,no,no,cellular,3,jun,213,1,-1,0,unknown,>50,medium,10.299065420560748,121220,0,0.0,yes
33,technician,single,secondary,no,781,yes,no,cellular,3,jun,266,1,27,1,failure,30-50,low,2.9250936329588013,25773,1,0.5,no
38,management,married,tertiary,no,7255,yes,no,cellular,3,jun,78,2,44,2,failure,30-50,high,91.83544303797468,275690,1,0.6666666666666666,no
29,management,single,tertiary,no,1739,yes,no,cellular,3,jun,114,1,-1,0,unknown,<30,medium,15.121739130434783,50431,0,0.0,no
40,management,married,tertiary,no,8963,no,no,cellular,3,jun,203,2,-1,0,unknown,30-50,high,43.93627450980392,358520,0,0.0,no
22,student,single,secondary,no,4132,no,no,telephone,3,jun,34,2,-1,0,unknown,<30,medium,118.05714285714286,90904,0,0.0,no
46,management,married,tertiary,no,946,yes,no,cellular,3,jun,295,4,-1,0,unknown,30-50,low,3.195945945945946,43516,0,0.0,no
43,management,divorced,tertiary,no,481,yes,no,cellular,3,jun,187,1,20,1,other,30-50,low,2.5585106382978724,20683,1,0.5,no
46,admin.,married,secondary,no,15,no,no,telephone,3,jun,218,5,-1,0,unknown,30-50,low,0.0684931506849315,690,0,0.0,no
50,management,divorced,tertiary,no,810,no,no,cellular,4,jun,510,3,-1,0,unknown,30-50,low,1.5851272015655578,40500,0,0.0,yes
30,management,single,tertiary,no,596,no,no,cellular,4,jun,125,2,-1,0,unknown,<30,low,4.73015873015873,17880,0,0.0,no
34,technician,married,secondary,no,114,yes,yes,cellular,4,jun,153,1,309,3,other,30-50,low,0.7402597402597403,3876,1,1.5,no
29,management,single,tertiary,no,2389,no,no,cellular,4,jun,277,3,-1,0,unknown,<30,medium,8.593525179856115,69281,0,0.0,yes
35,services,married,secondary,no,52,yes,no,cellular,4,jun,328,2,94,4,success,30-50,low,0.1580547112462006,1820,1,1.3333333333333333,no
37,management,married,tertiary,no,108,yes,yes,cellular,4,jun,262,2,-1,0,unknown,30-50,low,0.41064638783269963,3996,0,0.0,no
42,management,married,tertiary,no,2665,yes,no,cellular,4,jun,280,2,126,11,failure,30-50,medium,9.483985765124554,111930,1,3.6666666666666665,no
42,admin.,single,secondary,no,684,no,no,cellular,4,jun,207,1,-1,0,unknown,30-50,low,3.2884615384615383,28728,0,0.0,no
36,unemployed,married,secondary,no,352,yes,no,cellular,4,jun,94,2,-1,0,unknown,30-50,low,3.705263157894737,12672,0,0.0,no
37,services,single,secondary,no,1045,no,no,cellular,4,jun,106,1,79,3,success,30-50,medium,9.766355140186915,38665,1,1.5,no
33,management,single,tertiary,no,506,no,no,cellular,4,jun,176,1,91,2,success,30-50,low,2.8587570621468927,16698,1,1.0,yes
27,management,married,secondary,no,2071,no,no,cellular,4,jun,449,1,-1,0,unknown,<30,medium,4.602222222222222,55917,0,0.0,yes
27,services,single,secondary,no,339,no,no,cellular,4,jun,182,1,-1,0,unknown,<30,low,1.8524590163934427,9153,0,0.0,yes
33,technician,single,tertiary,no,154,no,no,cellular,4,jun,111,2,78,2,failure,30-50,low,1.375,5082,1,0.6666666666666666,no
29,management,single,tertiary,no,572,no,no,cellular,4,jun,224,1,-1,0,unknown,<30,low,2.542222222222222,16588,0,0.0,yes
36,management,single,tertiary,no,1027,yes,no,cellular,4,jun,151,1,-1,0,unknown,30-50,medium,6.756578947368421,36972,0,0.0,no
29,student,single,secondary,no,1779,no,no,cellular,4,jun,400,1,-1,0,unknown,<30,medium,4.43640897755611,51591,0,0.0,yes
34,admin.,married,secondary,no,613,yes,no,cellular,4,jun,80,1,-1,0,unknown,30-50,low,7.567901234567901,20842,0,0.0,no
26,student,single,secondary,no,132,no,no,cellular,4,jun,217,1,-1,0,unknown,<30,low,0.6055045871559633,3432,0,0.0,yes
39,admin.,single,tertiary,no,22086,no,no,cellular,4,jun,160,1,-1,0,unknown,30-50,high,137.1801242236025,861354,0,0.0,no
48,management,married,tertiary,no,-10,no,no,cellular,4,jun,144,1,-1,0,unknown,30-50,negative,-0.06896551724137931,-480,0,0.0,no
41,services,married,secondary,no,0,yes,yes,cellular,4,jun,352,2,122,2,failure,30-50,negative,0.0,0,1,0.6666666666666666,no
29,management,married,tertiary,no,205,no,no,cellular,4,jun,787,1,-1,0,unknown,<30,low,0.26015228426395937,5945,0,0.0,yes
33,technician,single,tertiary,no,317,yes,no,cellular,4,jun,323,1,80,14,other,30-50,low,0.9783950617283951,10461,1,7.0,no
40,services,married,secondary,no,17,no,no,cellular,4,jun,78,1,-1,0,unknown,30-50,low,0.21518987341772153,680,0,0.0,no
32,management,married,tertiary,no,4945,no,no,cellular,4,jun,160,1,119,2,other,30-50,medium,30.714285714285715,158240,1,1.0,no
26,technician,married,secondary,no,523,no,no,cellular,4,jun,221,1,126,1,failure,<30,low,2.355855855855856,13598,1,0.5,no
43,management,married,tertiary,no,2987,no,no,cellular,4,jun,156,1,85,3,failure,30-50,medium,19.02547770700637,128441,1,1.5,yes
30,management,married,tertiary,no,419,yes,no,cellular,4,jun,194,1,-1,0,unknown,<30,low,2.1487179487179486,12570,0,0.0,no
30,management,single,tertiary,no,4,yes,no,cellular,4,jun,105,1,-1,0,unknown,<30,low,0.03773584905660377,120,0,0.0,no
38,technician,single,secondary,no,1130,no,no,cellular,4,jun,96,2,98,1,success,30-50,medium,11.649484536082474,42940,1,0.3333333333333333,no
55,admin.,married,secondary,no,1662,no,no,cellular,4,jun,94,2,-1,0,unknown,>50,medium,17.49473684210526,91410,0,0.0,no
25,admin.,single,secondary,no,1871,no,no,cellular,4,jun,136,1,-1,0,unknown,<30,medium,13.656934306569344,46775,0,0.0,yes
38,entrepreneur,divorced,secondary,no,1190,yes,no,cellular,4,jun,81,2,391,3,failure,30-50,medium,14.512195121951219,45220,1,1.0,no
41,management,divorced,tertiary,no,3426,no,no,cellular,4,jun,102,2,297,3,failure,30-50,medium,33.262135922330096,140466,1,1.0,no
31,services,married,secondary,no,447,no,no,cellular,4,jun,327,3,77,3,success,30-50,low,1.3628048780487805,13857,1,0.75,yes
35,blue-collar,married,secondary,no,563,no,yes,cellular,4,jun,147,1,119,3,failure,30-50,low,3.804054054054054,19705,1,1.5,no
31,unemployed,married,secondary,no,6,no,no,cellular,4,jun,121,4,-1,0,unknown,30-50,low,0.04918032786885246,186,0,0.0,no
25,services,single,secondary,no,594,no,no,cellular,4,jun,89,2,-1,0,unknown,<30,low,6.6,14850,0,0.0,no
44,technician,married,secondary,no,1319,no,no,cellular,4,jun,77,2,-1,0,unknown,30-50,medium,16.91025641025641,58036,0,0.0,no
